model,date,season,y,yhat
CSU CLIPR,2015-08-01,JAS,1.98,0.94
CSU CLIPR,2015-09-01,ASO,2.27,1.97
CSU CLIPR,2015-10-01,SON,2.57,2.05
CSU CLIPR,2015-11-01,OND,2.74,2.53
CSU CLIPR,2015-12-01,NDJ,2.79,2.52
CSU CLIPR,2016-01-01,DJF,2.61,2.44
CSU CLIPR,2016-02-01,JFM,2.23,1.85
CSU CLIPR,2016-03-01,FMA,1.72,1.19
CSU CLIPR,2016-04-01,MAM,1.02,0.93
CSU CLIPR,2016-05-01,AMJ,0.42,0.54
CSU CLIPR,2016-06-01,MJJ,-0.1,0.41
CSU CLIPR,2016-07-01,JJA,-0.38,-0.12
CSU CLIPR,2016-08-01,JAS,-0.54,-0.7
CSU CLIPR,2016-09-01,ASO,-0.62,-0.59
CSU CLIPR,2016-10-01,SON,-0.63,-0.77
CSU CLIPR,2016-11-01,OND,-0.57,-0.65
CSU CLIPR,2016-12-01,OND,-0.43,-0.76
CSU CLIPR,2017-01-01,DJF,-0.2,-0.5
CSU CLIPR,2017-02-01,JFM,-0.03,-1.13
CSU CLIPR,2017-03-01,FMA,0.2,-0.11
CSU CLIPR,2017-04-01,MAM,0.3,0.22
CSU CLIPR,2017-05-01,AMJ,0.44,0.41
CSU CLIPR,2017-06-01,MJJ,0.47,0.62
CSU CLIPR,2017-07-01,JJA,0.26,0.29
CSU CLIPR,2017-08-01,JAS,-0.07,0.27
CSU CLIPR,2017-09-01,ASO,-0.35,0.09
CSU CLIPR,2017-10-01,SON,-0.58,0.32
CSU CLIPR,2017-11-01,OND,-0.7,-0.46
CSU CLIPR,2017-12-01,NDJ,-0.79,-0.46
CSU CLIPR,2018-01-01,DJF,-0.81,-0.77
CSU CLIPR,2018-02-01,JFM,-0.79,-0.57
CSU CLIPR,2018-03-01,FMA,-0.68,-0.42
CSU CLIPR,2018-04-01,MAM,-0.41,-0.5
CSU CLIPR,2018-05-01,AMJ,-0.1,0.21
CSU CLIPR,2018-06-01,MJJ,0.12,-0.01
CSU CLIPR,2018-07-01,JJA,0.27,0.19
CSU CLIPR,2018-08-01,JAS,0.31,0.31
CSU CLIPR,2018-09-01,ASO,0.51,0.33
CSU CLIPR,2018-10-01,SON,0.74,0.57
CSU CLIPR,2018-11-01,OND,0.95,0.63
CSU CLIPR,2018-12-01,NDJ,0.82,0.95
CSU CLIPR,2019-01-01,DJF,0.71,0.84
ECMWF,2002-05-01,AMJ,0.54,0.5
ECMWF,2002-06-01,MJJ,0.75,0.65
ECMWF,2002-07-01,JJA,0.98,0.36
ECMWF,2002-08-01,JAS,1.06,0.97
ECMWF,2002-09-01,ASO,1.24,0.98
ECMWF,2002-10-01,SON,1.47,0.75
ECMWF,2002-11-01,OND,1.61,1.27
ECMWF,2002-12-01,NDJ,1.54,1.34
ECMWF,2003-01-01,DJF,1.22,1.19
ECMWF,2003-02-01,JFM,0.9,1.17
ECMWF,2003-03-01,FMA,0.53,0.53
ECMWF,2003-04-01,MAM,0.13,0.17
ECMWF,2003-05-01,AMJ,-0.1,-0.1
ECMWF,2003-06-01,MJJ,-0.01,-0.22
ECMWF,2003-07-01,JJA,0.17,-0.24
ECMWF,2003-08-01,JAS,0.27,-0.12
ECMWF,2003-09-01,ASO,0.36,0.2
ECMWF,2003-10-01,SON,0.48,0.14
ECMWF,2003-11-01,OND,0.52,0.23
ECMWF,2003-12-01,NDJ,0.39,0.57
ECMWF,2004-01-01,DJF,0.27,0.68
ECMWF,2004-02-01,JFM,0.12,0.38
ECMWF,2004-03-01,FMA,0.09,0.29
ECMWF,2004-04-01,MAM,0.14,0.24
ECMWF,2004-05-01,AMJ,0.24,0.36
ECMWF,2004-06-01,MJJ,0.38,0.4
ECMWF,2004-07-01,JJA,0.57,0.61
ECMWF,2004-08-01,JAS,0.76,0.64
ECMWF,2004-09-01,ASO,0.82,0.74
ECMWF,2004-10-01,SON,0.8,0.86
ECMWF,2004-11-01,OND,0.81,0.81
ECMWF,2004-12-01,NDJ,0.75,0.89
ECMWF,2005-01-01,DJF,0.57,0.86
ECMWF,2005-02-01,JFM,0.42,0.5
ECMWF,2005-03-01,FMA,0.34,0.46
ECMWF,2005-04-01,MAM,0.4,0.41
ECMWF,2005-05-01,AMJ,0.45,0.37
ECMWF,2005-06-01,MJJ,0.48,0.32
ECMWF,2005-07-01,JJA,0.37,0.46
ECMWF,2005-08-01,JAS,0.18,0.45
ECMWF,2005-09-01,ASO,0.12,0.14
ECMWF,2005-10-01,SON,0.01,0.15
ECMWF,2005-11-01,OND,-0.2,0.29
ECMWF,2005-12-01,NDJ,-0.54,0.11
ECMWF,2006-01-01,DJF,-0.7,-0.22
ECMWF,2006-02-01,JFM,-0.7,-0.65
ECMWF,2006-03-01,FMA,-0.43,-0.13
ECMWF,2006-04-01,MAM,-0.18,-0.17
ECMWF,2006-05-01,AMJ,0.15,0.12
ECMWF,2006-06-01,MJJ,0.26,0.29
ECMWF,2006-07-01,JJA,0.38,0.21
ECMWF,2006-08-01,JAS,0.5,0.42
ECMWF,2006-09-01,ASO,0.69,0.25
ECMWF,2006-10-01,SON,0.93,0.63
ECMWF,2006-11-01,OND,1.13,1.06
ECMWF,2006-12-01,NDJ,1.08,1.21
ECMWF,2007-01-01,DJF,0.71,1.03
ECMWF,2007-02-01,JFM,0.29,0.59
ECMWF,2007-03-01,FMA,0.08,0.46
ECMWF,2007-04-01,MAM,-0.02,0.06
ECMWF,2007-05-01,AMJ,0,-0.09
ECMWF,2007-06-01,MJJ,-0.14,-0.04
ECMWF,2007-07-01,JJA,-0.24,-0.46
ECMWF,2007-08-01,JAS,-0.54,-1.01
ECMWF,2007-09-01,ASO,-0.92,-0.75
ECMWF,2007-10-01,SON,-1.23,-0.78
ECMWF,2007-11-01,OND,-1.44,-1.09
ECMWF,2007-12-01,NDJ,-1.59,-1.33
ECMWF,2008-01-01,DJF,-1.74,-1.27
ECMWF,2008-02-01,JFM,-1.6,-1.27
ECMWF,2008-03-01,FMA,-1.26,-1.09
ECMWF,2008-04-01,MAM,-0.84,-1
ECMWF,2008-05-01,AMJ,-0.58,-0.85
ECMWF,2008-06-01,MJJ,-0.26,-0.59
ECMWF,2008-07-01,JJA,-0.01,-0.07
ECMWF,2008-08-01,JAS,0.03,0.22
ECMWF,2008-09-01,ASO,-0.11,0.27
ECMWF,2008-10-01,SON,-0.21,0.3
ECMWF,2008-11-01,OND,-0.4,-0.08
ECMWF,2008-12-01,NDJ,-0.65,-0.11
ECMWF,2009-01-01,DJF,-0.8,-0.44
ECMWF,2009-02-01,JFM,-0.72,-0.5
ECMWF,2009-03-01,FMA,-0.44,-0.48
ECMWF,2009-04-01,MAM,-0.13,-0.18
ECMWF,2009-05-01,AMJ,0.24,0
ECMWF,2009-06-01,MJJ,0.59,0.2
ECMWF,2009-07-01,JJA,0.77,0.83
ECMWF,2009-08-01,JAS,0.84,0.96
ECMWF,2009-09-01,ASO,0.88,1.31
ECMWF,2009-10-01,SON,1.18,1.18
ECMWF,2009-11-01,OND,1.51,1.31
ECMWF,2009-12-01,NDJ,1.69,1.18
ECMWF,2010-01-01,DJF,1.54,1.5
ECMWF,2010-02-01,JFM,1.32,1.32
ECMWF,2010-03-01,FMA,1.03,0.94
ECMWF,2010-04-01,MAM,0.6,0.5
ECMWF,2010-05-01,AMJ,0.05,0.2
ECMWF,2010-06-01,MJJ,-0.51,-0.2
ECMWF,2010-07-01,JJA,-0.89,-0.63
ECMWF,2010-08-01,JAS,-1.25,-1.49
ECMWF,2010-09-01,ASO,-1.46,-1.51
ECMWF,2010-10-01,SON,-1.53,-1.51
ECMWF,2010-11-01,OND,-1.52,-1.64
ECMWF,2010-12-01,NDJ,-1.62,-1.62
ECMWF,2011-01-01,DJF,-1.52,-1.4
ECMWF,2011-02-01,JFM,-1.3,-1.16
ECMWF,2011-03-01,FMA,-1.01,-0.83
ECMWF,2011-04-01,MAM,-0.73,-0.67
ECMWF,2011-05-01,AMJ,-0.46,-0.66
ECMWF,2011-06-01,MJJ,-0.27,-0.36
ECMWF,2011-07-01,JJA,-0.36,0.09
ECMWF,2011-08-01,JAS,-0.55,0.05
ECMWF,2011-09-01,ASO,-0.78,-0.14
ECMWF,2011-10-01,SON,-0.92,-0.3
ECMWF,2011-11-01,OND,-1.02,-0.79
ECMWF,2011-12-01,NDJ,-1.06,-1.11
ECMWF,2012-01-01,DJF,-0.94,-0.92
ECMWF,2012-02-01,JFM,-0.78,-0.9
ECMWF,2012-03-01,FMA,-0.55,-0.46
ECMWF,2012-04-01,MAM,-0.34,-0.16
ECMWF,2012-05-01,AMJ,-0.04,0.14
ECMWF,2012-06-01,MJJ,0.27,0.26
ECMWF,2012-07-01,JJA,0.52,0.55
ECMWF,2012-08-01,JAS,0.59,0.65
ECMWF,2012-09-01,ASO,0.51,0.79
ECMWF,2012-10-01,SON,0.39,0.53
ECMWF,2012-11-01,OND,0.19,0.27
ECMWF,2012-12-01,NDJ,-0.05,0.26
ECMWF,2013-01-01,DJF,-0.31,-0.01
ECMWF,2013-02-01,JFM,-0.34,-0.11
ECMWF,2013-03-01,FMA,-0.24,-0.26
ECMWF,2013-04-01,MAM,-0.2,-0.03
ECMWF,2013-05-01,AMJ,-0.19,0.12
ECMWF,2013-06-01,MJJ,-0.26,-0.22
ECMWF,2013-07-01,JJA,-0.27,0.02
ECMWF,2013-08-01,JAS,-0.21,-0.01
ECMWF,2013-09-01,ASO,-0.23,0.09
ECMWF,2013-10-01,SON,-0.13,0.26
ECMWF,2013-11-01,OND,-0.12,0.08
ECMWF,2013-12-01,NDJ,-0.18,0.12
ECMWF,2014-01-01,DJF,-0.37,0.05
ECMWF,2014-02-01,JFM,-0.43,-0.06
ECMWF,2014-03-01,FMA,-0.18,-0.11
ECMWF,2014-04-01,MAM,0.16,0.2
ECMWF,2014-05-01,AMJ,0.39,0.57
ECMWF,2014-06-01,MJJ,0.37,0.87
ECMWF,2014-07-01,JJA,0.28,0.6
ECMWF,2014-08-01,JAS,0.28,0.54
ECMWF,2014-09-01,ASO,0.38,0.59
ECMWF,2014-10-01,SON,0.6,0.66
ECMWF,2014-11-01,OND,0.71,0.69
ECMWF,2014-12-01,NDJ,0.72,0.82
ECMWF,2015-01-01,DJF,0.62,0.81
ECMWF,2015-02-01,JFM,0.56,0.75
ECMWF,2015-03-01,FMA,0.64,0.64
ECMWF,2015-04-01,MAM,0.8,0.78
ECMWF,2015-05-01,AMJ,1.04,0.96
ECMWF,2015-06-01,MJJ,1.32,1.47
ECMWF,2015-07-01,JJA,1.66,1.48
ECMWF,2015-08-01,JAS,1.98,2.03
ECMWF,2015-09-01,ASO,2.27,2.35
ECMWF,2015-10-01,SON,2.57,2.45
ECMWF,2015-11-01,OND,2.74,2.62
ECMWF,2015-12-01,NDJ,2.79,2.63
ECMWF,2016-01-01,DJF,2.61,2.39
ECMWF,2016-02-01,JFM,2.23,2.16
ECMWF,2016-03-01,FMA,1.72,1.73
ECMWF,2016-04-01,MAM,1.02,0.89
ECMWF,2016-05-01,AMJ,0.42,0.05
ECMWF,2016-06-01,MJJ,-0.1,-0.48
ECMWF,2016-07-01,JJA,-0.38,-0.55
ECMWF,2016-08-01,JAS,-0.54,-0.37
ECMWF,2016-09-01,ASO,-0.62,-0.25
ECMWF,2016-10-01,SON,-0.63,-0.23
ECMWF,2016-11-01,OND,-0.57,-0.31
ECMWF,2016-12-01,OND,-0.43,-0.37
ECMWF,2017-01-01,DJF,-0.2,-0.22
ECMWF,2017-02-01,JFM,-0.03,0.01
ECMWF,2017-03-01,FMA,0.2,0.18
ECMWF,2017-04-01,MAM,0.3,0.39
ECMWF,2017-05-01,AMJ,0.44,0.43
ECMWF,2017-06-01,MJJ,0.47,0.59
ECMWF,2017-07-01,JJA,0.26,0.32
ECMWF,2017-08-01,JAS,-0.07,0.4
ECMWF,2017-09-01,ASO,-0.35,-0.03
ECMWF,2017-10-01,SON,-0.58,-0.61
ECMWF,2017-11-01,OND,-0.7,-0.75
ECMWF,2017-12-01,NDJ,-0.79,-0.84
ECMWF,2018-01-01,DJF,-0.81,-0.87
ECMWF,2018-02-01,JFM,-0.79,-0.65
ECMWF,2018-03-01,FMA,-0.68,-0.47
ECMWF,2018-04-01,MAM,-0.41,-0.44
ECMWF,2018-05-01,AMJ,-0.1,-0.13
ECMWF,2018-06-01,MJJ,0.12,0.11
ECMWF,2018-07-01,JJA,0.27,0.48
ECMWF,2018-08-01,JAS,0.31,0.63
ECMWF,2018-09-01,ASO,0.51,0.52
ECMWF,2018-10-01,SON,0.74,0.54
ECMWF,2018-11-01,OND,0.95,1.08
ECMWF,2018-12-01,NDJ,0.82,1
ECMWF,2019-01-01,DJF,0.71,0.88
JMA,2002-05-01,AMJ,0.54,0.7
JMA,2002-06-01,MJJ,0.75,0.93
JMA,2002-07-01,JJA,0.98,0.85
JMA,2002-08-01,JAS,1.06,0.76
JMA,2002-09-01,ASO,1.24,0.77
JMA,2002-10-01,SON,1.47,0.95
JMA,2002-11-01,OND,1.61,1.19
JMA,2002-12-01,NDJ,1.54,1.34
JMA,2003-01-01,DJF,1.22,1.31
JMA,2003-02-01,JFM,0.9,1.12
JMA,2003-03-01,FMA,0.53,0.94
JMA,2003-04-01,MAM,0.13,0.94
JMA,2003-05-01,AMJ,-0.1,0.71
JMA,2003-06-01,MJJ,-0.01,0.52
JMA,2003-07-01,JJA,0.17,0.12
JMA,2003-08-01,JAS,0.27,-0.41
JMA,2003-09-01,ASO,0.36,-0.22
JMA,2003-10-01,SON,0.48,-0.12
JMA,2003-11-01,OND,0.52,-0.11
JMA,2003-12-01,NDJ,0.39,0.51
JMA,2004-01-01,DJF,0.27,0.6
JMA,2004-02-01,JFM,0.12,0.67
JMA,2004-03-01,FMA,0.09,0.68
JMA,2004-04-01,MAM,0.14,0.61
JMA,2004-05-01,AMJ,0.24,0.55
JMA,2004-06-01,MJJ,0.38,0.62
JMA,2004-07-01,JJA,0.57,0.57
JMA,2004-08-01,JAS,0.76,0.58
JMA,2004-09-01,ASO,0.82,0.54
JMA,2004-10-01,SON,0.8,0.77
JMA,2004-11-01,OND,0.81,0.57
JMA,2004-12-01,NDJ,0.75,0.72
JMA,2005-01-01,DJF,0.57,0.91
JMA,2005-02-01,JFM,0.42,0.82
JMA,2005-03-01,FMA,0.34,0.82
JMA,2005-04-01,MAM,0.4,0.72
JMA,2005-05-01,AMJ,0.45,0.77
JMA,2005-06-01,MJJ,0.48,0.81
JMA,2005-07-01,JJA,0.37,0.23
JMA,2005-08-01,JAS,0.18,0.01
JMA,2005-09-01,ASO,0.12,0.24
JMA,2005-10-01,SON,0.01,0.15
JMA,2005-11-01,OND,-0.2,0.06
JMA,2005-12-01,NDJ,-0.54,0.06
JMA,2006-01-01,DJF,-0.7,-0.16
JMA,2006-02-01,JFM,-0.7,-0.62
JMA,2006-03-01,FMA,-0.43,-0.28
JMA,2006-04-01,MAM,-0.18,-0.32
JMA,2006-05-01,AMJ,0.15,-0.06
JMA,2006-06-01,MJJ,0.26,0.11
JMA,2006-07-01,JJA,0.38,0.25
JMA,2006-08-01,JAS,0.5,0.21
JMA,2006-09-01,ASO,0.69,0.25
JMA,2006-10-01,SON,0.93,0.33
JMA,2006-11-01,OND,1.13,0.59
JMA,2006-12-01,NDJ,1.08,0.83
JMA,2007-01-01,DJF,0.71,0.83
JMA,2007-02-01,JFM,0.29,0.61
JMA,2007-03-01,FMA,0.08,0.29
JMA,2007-04-01,MAM,-0.02,-0.18
JMA,2007-05-01,AMJ,0,-0.26
JMA,2007-06-01,MJJ,-0.14,-0.35
JMA,2007-07-01,JJA,-0.24,-0.64
JMA,2007-08-01,JAS,-0.54,-1.09
JMA,2007-09-01,ASO,-0.92,-1.09
JMA,2007-10-01,SON,-1.23,-1.34
JMA,2007-11-01,OND,-1.44,-1.8
JMA,2007-12-01,NDJ,-1.59,-1.81
JMA,2008-01-01,DJF,-1.74,-1.8
JMA,2008-02-01,JFM,-1.6,-1.65
JMA,2008-03-01,FMA,-1.26,-1.43
JMA,2008-04-01,MAM,-0.84,-1.26
JMA,2008-05-01,AMJ,-0.58,-0.78
JMA,2008-06-01,MJJ,-0.26,-0.43
JMA,2008-07-01,JJA,-0.01,-0.28
JMA,2008-08-01,JAS,0.03,-0.2
JMA,2008-09-01,ASO,-0.11,-0.4
JMA,2008-10-01,SON,-0.21,-0.52
JMA,2008-11-01,OND,-0.4,-0.57
JMA,2008-12-01,NDJ,-0.65,-0.71
JMA,2009-01-01,DJF,-0.8,-0.83
JMA,2009-02-01,JFM,-0.72,-1.06
JMA,2009-03-01,FMA,-0.44,-0.91
JMA,2009-04-01,MAM,-0.13,-0.4
JMA,2009-05-01,AMJ,0.24,-0.02
JMA,2009-06-01,MJJ,0.59,0.34
JMA,2009-07-01,JJA,0.77,0.79
JMA,2009-08-01,JAS,0.84,0.94
JMA,2009-09-01,ASO,0.88,0.77
JMA,2009-10-01,SON,1.18,1.07
JMA,2009-11-01,OND,1.51,1.16
JMA,2009-12-01,NDJ,1.69,1.61
JMA,2010-01-01,DJF,1.54,1.8
JMA,2010-02-01,JFM,1.32,1.53
JMA,2010-03-01,FMA,1.03,1.06
JMA,2010-04-01,MAM,0.6,0.79
JMA,2010-05-01,AMJ,0.05,0.46
JMA,2010-06-01,MJJ,-0.51,0.01
JMA,2010-07-01,JJA,-0.89,-0.64
JMA,2010-08-01,JAS,-1.25,-1.17
JMA,2010-09-01,ASO,-1.46,-1.1
JMA,2010-10-01,SON,-1.53,-1.29
JMA,2010-11-01,OND,-1.52,-1.38
JMA,2010-12-01,NDJ,-1.62,-1.21
JMA,2011-01-01,DJF,-1.52,-1.05
JMA,2011-02-01,JFM,-1.3,-1.12
JMA,2011-03-01,FMA,-1.01,-0.63
JMA,2011-04-01,MAM,-0.73,-0.22
JMA,2011-05-01,AMJ,-0.46,0.01
JMA,2011-06-01,MJJ,-0.27,0.26
JMA,2011-07-01,JJA,-0.36,0.37
JMA,2011-08-01,JAS,-0.55,0.18
JMA,2011-09-01,ASO,-0.78,-0.07
JMA,2011-10-01,SON,-0.92,-0.32
JMA,2011-11-01,OND,-1.02,-0.47
JMA,2011-12-01,NDJ,-1.06,-0.64
JMA,2012-01-01,DJF,-0.94,-0.49
JMA,2012-02-01,JFM,-0.78,-0.55
JMA,2012-03-01,FMA,-0.55,-0.39
JMA,2012-04-01,MAM,-0.34,-0.02
JMA,2012-05-01,AMJ,-0.04,0.24
JMA,2012-06-01,MJJ,0.27,0.52
JMA,2012-07-01,JJA,0.52,0.75
JMA,2012-08-01,JAS,0.59,1.13
JMA,2012-09-01,ASO,0.51,1.18
JMA,2012-10-01,SON,0.39,0.77
JMA,2012-11-01,OND,0.19,0.45
JMA,2012-12-01,NDJ,-0.05,0.35
JMA,2013-01-01,DJF,-0.31,0.16
JMA,2013-02-01,JFM,-0.34,-0.31
JMA,2013-03-01,FMA,-0.24,-0.54
JMA,2013-04-01,MAM,-0.2,-0.16
JMA,2013-05-01,AMJ,-0.19,0.17
JMA,2013-06-01,MJJ,-0.26,0.03
JMA,2013-07-01,JJA,-0.27,-0.11
JMA,2013-08-01,JAS,-0.21,-0.29
JMA,2013-09-01,ASO,-0.23,-0.28
JMA,2013-10-01,SON,-0.13,-0.03
JMA,2013-11-01,OND,-0.12,-0.07
JMA,2013-12-01,NDJ,-0.18,0.02
JMA,2014-01-01,DJF,-0.37,0.09
JMA,2014-02-01,JFM,-0.43,-0.1
JMA,2014-03-01,FMA,-0.18,-0.23
JMA,2014-04-01,MAM,0.16,-0.04
JMA,2014-05-01,AMJ,0.39,0.47
JMA,2014-06-01,MJJ,0.37,0.71
JMA,2014-07-01,JJA,0.28,0.55
JMA,2014-08-01,JAS,0.28,0.17
JMA,2014-09-01,ASO,0.38,0.15
JMA,2014-10-01,SON,0.6,0.46
JMA,2014-11-01,OND,0.71,0.61
JMA,2014-12-01,NDJ,0.72,0.69
JMA,2015-01-01,DJF,0.62,0.92
JMA,2015-02-01,JFM,0.56,0.5
JMA,2015-03-01,FMA,0.64,0.44
JMA,2015-04-01,MAM,0.8,0.65
JMA,2015-05-01,AMJ,1.04,0.83
JMA,2015-06-01,MJJ,1.32,1.22
JMA,2015-07-01,JJA,1.66,1.59
JMA,2015-08-01,JAS,1.98,1.63
JMA,2015-09-01,ASO,2.27,2
JMA,2015-10-01,SON,2.57,2.35
JMA,2015-11-01,OND,2.74,2.67
JMA,2015-12-01,NDJ,2.79,2.4
JMA,2016-01-01,DJF,2.61,2.06
JMA,2016-02-01,JFM,2.23,1.94
JMA,2016-03-01,FMA,1.72,1.76
JMA,2016-04-01,MAM,1.02,1.48
JMA,2016-05-01,AMJ,0.42,0.82
JMA,2016-06-01,MJJ,-0.1,-0.4
JMA,2016-07-01,JJA,-0.38,-0.65
JMA,2016-08-01,JAS,-0.54,-0.77
JMA,2016-09-01,ASO,-0.62,-0.88
JMA,2016-10-01,SON,-0.63,-0.68
JMA,2016-11-01,OND,-0.57,-0.61
JMA,2016-12-01,OND,-0.43,-0.94
JMA,2017-01-01,DJF,-0.2,-0.8
JMA,2017-02-01,JFM,-0.03,-0.54
JMA,2017-03-01,FMA,0.2,-0.05
JMA,2017-04-01,MAM,0.3,0.44
JMA,2017-05-01,AMJ,0.44,0.67
JMA,2017-06-01,MJJ,0.47,0.65
JMA,2017-07-01,JJA,0.26,0.27
JMA,2017-08-01,JAS,-0.07,0.1
JMA,2017-09-01,ASO,-0.35,-0.33
JMA,2017-10-01,SON,-0.58,-0.65
