model,date,season,y,yhat
JMA,2017-11-01,OND,-0.7,-0.82
JMA,2017-12-01,NDJ,-0.79,-0.92
JMA,2018-01-01,DJF,-0.81,-1.01
JMA,2018-02-01,JFM,-0.79,-0.83
JMA,2018-03-01,FMA,-0.68,-0.58
JMA,2018-04-01,MAM,-0.41,-0.5
JMA,2018-05-01,AMJ,-0.1,-0.24
JMA,2018-06-01,MJJ,0.12,0.01
JMA,2018-07-01,JJA,0.27,0.23
JMA,2018-08-01,JAS,0.31,0.37
JMA,2018-09-01,ASO,0.51,0.45
JMA,2018-10-01,SON,0.74,0.41
JMA,2018-11-01,OND,0.95,0.66
JMA,2018-12-01,NDJ,0.82,1.08
JMA,2019-01-01,DJF,0.71,0.99
KMA SNU,2002-05-01,AMJ,0.54,0.4
KMA SNU,2002-06-01,MJJ,0.75,0.38
KMA SNU,2002-07-01,JJA,0.98,0.37
KMA SNU,2002-08-01,JAS,1.06,0.45
KMA SNU,2002-09-01,ASO,1.24,0.79
KMA SNU,2002-10-01,SON,1.47,1.13
KMA SNU,2002-11-01,OND,1.61,1.22
KMA SNU,2002-12-01,NDJ,1.54,1.37
KMA SNU,2003-01-01,DJF,1.22,1.43
KMA SNU,2003-02-01,JFM,0.9,1.3
KMA SNU,2003-03-01,FMA,0.53,0.67
KMA SNU,2003-04-01,MAM,0.13,0.33
KMA SNU,2003-05-01,AMJ,-0.1,-0.07
KMA SNU,2003-06-01,MJJ,-0.01,-0.3
KMA SNU,2003-07-01,JJA,0.17,-0.57
KMA SNU,2003-08-01,JAS,0.27,-0.27
KMA SNU,2003-09-01,ASO,0.36,0.1
KMA SNU,2003-10-01,SON,0.48,0.17
KMA SNU,2003-11-01,OND,0.52,0.32
KMA SNU,2003-12-01,NDJ,0.39,0.34
KMA SNU,2004-01-01,DJF,0.27,0.22
KMA SNU,2004-02-01,JFM,0.12,-0.06
KMA SNU,2004-03-01,FMA,0.09,-0.12
KMA SNU,2004-04-01,MAM,0.14,-0.16
KMA SNU,2004-05-01,AMJ,0.24,-0.17
KMA SNU,2004-06-01,MJJ,0.38,-0.24
KMA SNU,2004-07-01,JJA,0.57,-0.05
KMA SNU,2004-08-01,JAS,0.76,0.08
KMA SNU,2004-09-01,ASO,0.82,0.45
KMA SNU,2004-10-01,SON,0.8,0.44
KMA SNU,2004-11-01,OND,0.81,0.39
KMA SNU,2004-12-01,NDJ,0.75,0.41
KMA SNU,2005-01-01,DJF,0.57,0.49
KMA SNU,2005-02-01,JFM,0.42,0.45
KMA SNU,2005-03-01,FMA,0.34,0.23
KMA SNU,2005-04-01,MAM,0.4,0.09
KMA SNU,2005-05-01,AMJ,0.45,0.06
KMA SNU,2005-06-01,MJJ,0.48,0.12
KMA SNU,2005-07-01,JJA,0.37,0.19
KMA SNU,2005-08-01,JAS,0.18,0.37
KMA SNU,2005-09-01,ASO,0.12,0.26
KMA SNU,2005-10-01,SON,0.01,0.2
KMA SNU,2005-11-01,OND,-0.2,0.12
KMA SNU,2005-12-01,NDJ,-0.54,-0.35
KMA SNU,2006-01-01,DJF,-0.7,-0.44
KMA SNU,2006-02-01,JFM,-0.7,-0.58
KMA SNU,2006-03-01,FMA,-0.43,-0.72
KMA SNU,2006-04-01,MAM,-0.18,-0.55
KMA SNU,2006-05-01,AMJ,0.15,-0.34
KMA SNU,2006-06-01,MJJ,0.26,-0.04
KMA SNU,2006-07-01,JJA,0.38,0.46
KMA SNU,2006-08-01,JAS,0.5,0.7
KMA SNU,2006-09-01,ASO,0.69,0.83
KMA SNU,2006-10-01,SON,0.93,0.99
KMA SNU,2006-11-01,OND,1.13,0.93
KMA SNU,2006-12-01,NDJ,1.08,0.94
KMA SNU,2007-01-01,DJF,0.71,0.94
KMA SNU,2007-02-01,JFM,0.29,0.96
KMA SNU,2007-03-01,FMA,0.08,0.6
KMA SNU,2007-04-01,MAM,-0.02,0.09
KMA SNU,2007-05-01,AMJ,0,-0.29
KMA SNU,2007-06-01,MJJ,-0.14,-0.38
KMA SNU,2007-07-01,JJA,-0.24,-0.44
KMA SNU,2007-08-01,JAS,-0.54,-0.38
KMA SNU,2007-09-01,ASO,-0.92,-0.32
KMA SNU,2007-10-01,SON,-1.23,-0.49
KMA SNU,2007-11-01,OND,-1.44,-0.79
KMA SNU,2007-12-01,NDJ,-1.59,-1.11
KMA SNU,2008-01-01,DJF,-1.74,-1.29
KMA SNU,2008-02-01,JFM,-1.6,-1.17
KMA SNU,2008-03-01,FMA,-1.26,-1.09
KMA SNU,2008-04-01,MAM,-0.84,-0.98
KMA SNU,2008-05-01,AMJ,-0.58,-0.59
KMA SNU,2008-06-01,MJJ,-0.26,-0.38
KMA SNU,2008-07-01,JJA,-0.01,-0.03
KMA SNU,2008-08-01,JAS,0.03,0.11
KMA SNU,2008-09-01,ASO,-0.11,0.12
KMA SNU,2008-10-01,SON,-0.21,0.23
KMA SNU,2008-11-01,OND,-0.4,-0.02
KMA SNU,2008-12-01,NDJ,-0.65,-0.16
KMA SNU,2009-01-01,DJF,-0.8,-0.42
KMA SNU,2009-02-01,JFM,-0.72,-0.59
KMA SNU,2009-03-01,FMA,-0.44,-0.53
KMA SNU,2009-04-01,MAM,-0.13,-0.45
KMA SNU,2009-05-01,AMJ,0.24,-0.23
KMA SNU,2009-06-01,MJJ,0.59,0.07
KMA SNU,2009-07-01,JJA,0.77,0.32
KMA SNU,2009-08-01,JAS,0.84,0.77
KMA SNU,2009-09-01,ASO,0.88,0.99
KMA SNU,2009-10-01,SON,1.18,1.05
KMA SNU,2009-11-01,OND,1.51,0.82
KMA SNU,2009-12-01,NDJ,1.69,0.84
KMA SNU,2010-01-01,DJF,1.54,1.15
KMA SNU,2010-02-01,JFM,1.32,1.28
KMA SNU,2010-03-01,FMA,1.03,1.14
KMA SNU,2010-04-01,MAM,0.6,0.78
KMA SNU,2010-05-01,AMJ,0.05,0.43
KMA SNU,2010-06-01,MJJ,-0.51,0.15
KMA SNU,2010-07-01,JJA,-0.89,-0.68
KMA SNU,2010-08-01,JAS,-1.25,-1.14
KMA SNU,2010-09-01,ASO,-1.46,-1.04
KMA SNU,2010-10-01,SON,-1.53,-0.79
KMA SNU,2010-11-01,OND,-1.52,-1.19
KMA SNU,2010-12-01,NDJ,-1.62,-1.16
KMA SNU,2011-01-01,DJF,-1.52,-1.13
KMA SNU,2011-02-01,JFM,-1.3,-1.2
KMA SNU,2011-03-01,FMA,-1.01,-1.23
KMA SNU,2011-04-01,MAM,-0.73,-0.97
KMA SNU,2011-05-01,AMJ,-0.46,-0.7
KMA SNU,2011-06-01,MJJ,-0.27,-0.36
KMA SNU,2011-07-01,JJA,-0.36,-0.05
KMA SNU,2011-08-01,JAS,-0.55,0.07
KMA SNU,2011-09-01,ASO,-0.78,-0.1
KMA SNU,2011-10-01,SON,-0.92,-0.26
KMA SNU,2011-11-01,OND,-1.02,-0.43
KMA SNU,2011-12-01,NDJ,-1.06,-0.56
KMA SNU,2012-01-01,DJF,-0.94,-0.56
KMA SNU,2012-02-01,JFM,-0.78,-0.54
KMA SNU,2012-03-01,FMA,-0.55,-0.32
KMA SNU,2012-04-01,MAM,-0.34,-0.28
KMA SNU,2012-05-01,AMJ,-0.04,-0.21
KMA SNU,2012-06-01,MJJ,0.27,0.13
KMA SNU,2012-07-01,JJA,0.52,0.36
KMA SNU,2012-08-01,JAS,0.59,0.76
KMA SNU,2012-09-01,ASO,0.51,0.87
KMA SNU,2012-10-01,SON,0.39,0.79
KMA SNU,2012-11-01,OND,0.19,0.56
KMA SNU,2012-12-01,NDJ,-0.05,0.32
KMA SNU,2013-01-01,DJF,-0.31,0.1
KMA SNU,2013-02-01,JFM,-0.34,-0.23
KMA SNU,2013-03-01,FMA,-0.24,-0.43
KMA SNU,2013-04-01,MAM,-0.2,-0.43
KMA SNU,2013-05-01,AMJ,-0.19,-0.35
KMA SNU,2013-06-01,MJJ,-0.26,-0.32
KMA SNU,2013-07-01,JJA,-0.27,-0.19
KMA SNU,2013-08-01,JAS,-0.21,0.07
KMA SNU,2013-09-01,ASO,-0.23,0.02
KMA SNU,2013-10-01,SON,-0.13,-0.1
KMA SNU,2013-11-01,OND,-0.12,-0.06
KMA SNU,2013-12-01,NDJ,-0.18,0.23
KMA SNU,2014-01-01,DJF,-0.37,0.44
KMA SNU,2014-02-01,JFM,-0.43,0.18
KMA SNU,2014-03-01,FMA,-0.18,-0.09
KMA SNU,2014-04-01,MAM,0.16,0.05
KMA SNU,2014-05-01,AMJ,0.39,0.36
KMA SNU,2014-06-01,MJJ,0.37,0.53
KMA SNU,2014-07-01,JJA,0.28,0.76
KMA SNU,2014-08-01,JAS,0.28,0.83
KMA SNU,2014-09-01,ASO,0.38,0.74
KMA SNU,2014-10-01,SON,0.6,0.79
KMA SNU,2014-11-01,OND,0.71,0.59
KMA SNU,2014-12-01,NDJ,0.72,0.56
KMA SNU,2015-01-01,DJF,0.62,0.81
KMA SNU,2015-02-01,JFM,0.56,0.68
KMA SNU,2015-03-01,FMA,0.64,0.46
KMA SNU,2015-04-01,MAM,0.8,0.46
KMA SNU,2015-05-01,AMJ,1.04,0.5
KMA SNU,2015-06-01,MJJ,1.32,0.77
KMA SNU,2015-07-01,JJA,1.66,1.05
KMA SNU,2015-08-01,JAS,1.98,1.4
KMA SNU,2015-09-01,ASO,2.27,1.76
KMA SNU,2015-10-01,SON,2.57,1.88
KMA SNU,2015-11-01,OND,2.74,1.84
KMA SNU,2015-12-01,NDJ,2.79,1.74
KMA SNU,2016-01-01,DJF,2.61,1.73
KMA SNU,2016-02-01,JFM,2.23,1.72
KMA SNU,2016-03-01,FMA,1.72,1.63
KMA SNU,2016-04-01,MAM,1.02,1.34
KMA SNU,2016-05-01,AMJ,0.42,1
KMA SNU,2016-06-01,MJJ,-0.1,0.53
KMA SNU,2016-07-01,JJA,-0.38,-0.18
KMA SNU,2016-08-01,JAS,-0.54,-0.65
KMA SNU,2016-09-01,ASO,-0.62,-0.8
KMA SNU,2016-10-01,SON,-0.63,-0.77
KMA SNU,2016-11-01,OND,-0.57,-0.61
KMA SNU,2016-12-01,OND,-0.43,-0.47
KMA SNU,2017-01-01,DJF,-0.2,-0.24
KMA SNU,2017-02-01,JFM,-0.03,-0.16
KMA SNU,2017-03-01,FMA,0.2,-0.32
KMA SNU,2017-04-01,MAM,0.3,-0.03
KMA SNU,2017-05-01,AMJ,0.44,0.05
KMA SNU,2017-06-01,MJJ,0.47,0.28
KMA SNU,2017-07-01,JJA,0.26,0.46
KMA SNU,2017-08-01,JAS,-0.07,0.51
KMA SNU,2017-09-01,ASO,-0.35,0.21
KMA SNU,2017-10-01,SON,-0.58,-0.28
KMA SNU,2017-11-01,OND,-0.7,-0.5
KMA SNU,2017-12-01,NDJ,-0.79,-0.45
KMA SNU,2018-01-01,DJF,-0.81,-0.54
KMA SNU,2018-02-01,JFM,-0.79,-0.51
KMA SNU,2018-03-01,FMA,-0.68,-0.56
KMA SNU,2018-04-01,MAM,-0.41,-0.55
KMA SNU,2018-05-01,AMJ,-0.1,-0.46
KMA SNU,2018-06-01,MJJ,0.12,-0.24
KMA SNU,2018-07-01,JJA,0.27,0.03
KMA SNU,2018-08-01,JAS,0.31,0.57
KMA SNU,2018-09-01,ASO,0.51,0.82
KMA SNU,2018-10-01,SON,0.74,0.86
KMA SNU,2018-11-01,OND,0.95,1.06
KMA SNU,2018-12-01,NDJ,0.82,1.23
KMA SNU,2019-01-01,DJF,0.71,1.18
LDEO,2002-05-01,AMJ,0.54,0.2
LDEO,2002-06-01,MJJ,0.75,0.12
LDEO,2002-07-01,JJA,0.98,0.58
LDEO,2002-08-01,JAS,1.06,0.73
LDEO,2002-09-01,ASO,1.24,0.85
LDEO,2002-10-01,SON,1.47,1.38
LDEO,2002-11-01,OND,1.61,1.57
LDEO,2002-12-01,NDJ,1.54,1.8
LDEO,2003-01-01,DJF,1.22,1.62
LDEO,2003-02-01,JFM,0.9,1.49
LDEO,2003-03-01,FMA,0.53,0.7
LDEO,2003-04-01,MAM,0.13,0.16
LDEO,2003-05-01,AMJ,-0.1,0.25
LDEO,2003-06-01,MJJ,-0.01,-0.27
LDEO,2003-07-01,JJA,0.17,-0.26
LDEO,2003-08-01,JAS,0.27,-0.2
LDEO,2003-09-01,ASO,0.36,0.4
LDEO,2003-10-01,SON,0.48,0.23
LDEO,2003-11-01,OND,0.52,0.36
LDEO,2003-12-01,NDJ,0.39,0.5
LDEO,2004-01-01,DJF,0.27,0.28
LDEO,2004-02-01,JFM,0.12,0.13
LDEO,2004-03-01,FMA,0.09,0.07
LDEO,2004-04-01,MAM,0.14,0.05
LDEO,2004-05-01,AMJ,0.24,0.2
LDEO,2004-06-01,MJJ,0.38,0.43
LDEO,2004-07-01,JJA,0.57,0.33
LDEO,2004-08-01,JAS,0.76,0.47
LDEO,2004-09-01,ASO,0.82,0.82
LDEO,2004-10-01,SON,0.8,1.03
LDEO,2004-11-01,OND,0.81,0.99
LDEO,2004-12-01,NDJ,0.75,0.85
LDEO,2005-01-01,DJF,0.57,0.75
LDEO,2005-02-01,JFM,0.42,0.75
LDEO,2005-03-01,FMA,0.34,0.41
LDEO,2005-04-01,MAM,0.4,0.37
LDEO,2005-05-01,AMJ,0.45,0.34
LDEO,2005-06-01,MJJ,0.48,0.4
LDEO,2005-07-01,JJA,0.37,0.35
LDEO,2005-08-01,JAS,0.18,0.71
LDEO,2005-09-01,ASO,0.12,0.47
LDEO,2005-10-01,SON,0.01,0.61
LDEO,2005-11-01,OND,-0.2,0.4
LDEO,2005-12-01,NDJ,-0.54,0.34
LDEO,2006-01-01,DJF,-0.7,-0.38
LDEO,2006-02-01,JFM,-0.7,-0.42
LDEO,2006-03-01,FMA,-0.43,-0.18
LDEO,2006-04-01,MAM,-0.18,-0.17
LDEO,2006-05-01,AMJ,0.15,-0.26
LDEO,2006-06-01,MJJ,0.26,0.1
LDEO,2006-07-01,JJA,0.38,0.56
LDEO,2006-08-01,JAS,0.5,0.27
LDEO,2006-09-01,ASO,0.69,0.44
LDEO,2006-10-01,SON,0.93,0.77
LDEO,2006-11-01,OND,1.13,0.88
LDEO,2006-12-01,NDJ,1.08,0.94
LDEO,2007-01-01,DJF,0.71,0.91
LDEO,2007-02-01,JFM,0.29,0.98
LDEO,2007-03-01,FMA,0.08,0.69
LDEO,2007-04-01,MAM,-0.02,0.13
LDEO,2007-05-01,AMJ,0,-0.29
LDEO,2007-06-01,MJJ,-0.14,-0.46
LDEO,2007-07-01,JJA,-0.24,-0.56
LDEO,2007-08-01,JAS,-0.54,-0.89
LDEO,2007-09-01,ASO,-0.92,-0.8
LDEO,2007-10-01,SON,-1.23,-0.77
LDEO,2007-11-01,OND,-1.44,-0.77
LDEO,2007-12-01,NDJ,-1.59,-0.89
LDEO,2008-01-01,DJF,-1.74,-1.38
LDEO,2008-02-01,JFM,-1.6,-1.05
LDEO,2008-03-01,FMA,-1.26,-1.17
LDEO,2008-04-01,MAM,-0.84,-1.42
LDEO,2008-05-01,AMJ,-0.58,-1.18
LDEO,2008-06-01,MJJ,-0.26,-0.44
LDEO,2008-07-01,JJA,-0.01,-0.35
LDEO,2008-08-01,JAS,0.03,0.26
LDEO,2008-09-01,ASO,-0.11,0.05
LDEO,2008-10-01,SON,-0.21,0.04
LDEO,2008-11-01,OND,-0.4,-0.31
LDEO,2008-12-01,NDJ,-0.65,-0.5
LDEO,2009-01-01,DJF,-0.8,-0.31
LDEO,2009-02-01,JFM,-0.72,-0.28
LDEO,2009-03-01,FMA,-0.44,-0.42
LDEO,2009-04-01,MAM,-0.13,-0.37
LDEO,2009-05-01,AMJ,0.24,-0.38
LDEO,2009-06-01,MJJ,0.59,-0.12
LDEO,2009-07-01,JJA,0.77,0.28
LDEO,2009-08-01,JAS,0.84,0.48
LDEO,2009-09-01,ASO,0.88,0.74
LDEO,2009-10-01,SON,1.18,0.78
LDEO,2009-11-01,OND,1.51,0.43
LDEO,2009-12-01,NDJ,1.69,0.75
LDEO,2010-01-01,DJF,1.54,1.19
LDEO,2010-02-01,JFM,1.32,1.37
LDEO,2010-03-01,FMA,1.03,1.06
LDEO,2010-04-01,MAM,0.6,0.86
LDEO,2010-05-01,AMJ,0.05,0.5
LDEO,2010-06-01,MJJ,-0.51,0.43
LDEO,2010-07-01,JJA,-0.89,-0.28
LDEO,2010-08-01,JAS,-1.25,-1.11
LDEO,2010-09-01,ASO,-1.46,-1.3
LDEO,2010-10-01,SON,-1.53,-1.03
LDEO,2010-11-01,OND,-1.52,-1.26
LDEO,2010-12-01,NDJ,-1.62,-1.54
LDEO,2011-01-01,DJF,-1.52,-1.38
LDEO,2011-02-01,JFM,-1.3,-1.01
LDEO,2011-03-01,FMA,-1.01,-0.92
LDEO,2011-04-01,MAM,-0.73,-0.77
LDEO,2011-05-01,AMJ,-0.46,-0.42
LDEO,2011-06-01,MJJ,-0.27,-0.06
LDEO,2011-07-01,JJA,-0.36,-0.01
LDEO,2011-08-01,JAS,-0.55,-0.13
LDEO,2011-09-01,ASO,-0.78,0
LDEO,2011-10-01,SON,-0.92,-0.13
LDEO,2011-11-01,OND,-1.02,-0.41
LDEO,2011-12-01,NDJ,-1.06,-0.69
LDEO,2012-01-01,DJF,-0.94,-0.91
LDEO,2012-02-01,JFM,-0.78,-0.72
LDEO,2012-03-01,FMA,-0.55,-0.56
LDEO,2012-04-01,MAM,-0.34,-0.4
LDEO,2012-05-01,AMJ,-0.04,-0.14
LDEO,2012-06-01,MJJ,0.27,0.23
LDEO,2012-07-01,JJA,0.52,-0.13
LDEO,2012-08-01,JAS,0.59,-0.03
LDEO,2012-09-01,ASO,0.51,0.2
LDEO,2012-10-01,SON,0.39,0.52
LDEO,2012-11-01,OND,0.19,0.76
LDEO,2012-12-01,NDJ,-0.05,0.57
LDEO,2013-01-01,DJF,-0.31,0.29
LDEO,2013-02-01,JFM,-0.34,-0.12
LDEO,2013-03-01,FMA,-0.24,-0.28
LDEO,2013-04-01,MAM,-0.2,-0.42
LDEO,2013-05-01,AMJ,-0.19,-0.27
LDEO,2013-06-01,MJJ,-0.26,0.01
LDEO,2013-07-01,JJA,-0.27,-0.15
LDEO,2013-08-01,JAS,-0.21,-0.43
LDEO,2013-09-01,ASO,-0.23,-0.42
LDEO,2013-10-01,SON,-0.13,-0.48
LDEO,2013-11-01,OND,-0.12,-0.66
LDEO,2013-12-01,NDJ,-0.18,-0.52
LDEO,2014-01-01,DJF,-0.37,-0.34
LDEO,2014-02-01,JFM,-0.43,-0.12
LDEO,2014-03-01,FMA,-0.18,-0.3
LDEO,2014-04-01,MAM,0.16,-0.24
LDEO,2014-05-01,AMJ,0.39,0.11
LDEO,2014-06-01,MJJ,0.37,0.59
LDEO,2014-07-01,JJA,0.28,0.49
LDEO,2014-08-01,JAS,0.28,0.5
LDEO,2014-09-01,ASO,0.38,0.37
LDEO,2014-10-01,SON,0.6,0.16
LDEO,2014-11-01,OND,0.71,0.32
LDEO,2014-12-01,NDJ,0.72,0.3
LDEO,2015-01-01,DJF,0.62,0.61
LDEO,2015-02-01,JFM,0.56,0.79
LDEO,2015-03-01,FMA,0.64,0.56
LDEO,2015-04-01,MAM,0.8,0.47
LDEO,2015-05-01,AMJ,1.04,0.34
LDEO,2015-06-01,MJJ,1.32,0.61
LDEO,2015-07-01,JJA,1.66,0.79
LDEO,2015-08-01,JAS,1.98,0.74
LDEO,2015-09-01,ASO,2.27,2.06
LDEO,2015-10-01,SON,2.57,2.56
LDEO,2015-11-01,OND,2.74,2.59
LDEO,2015-12-01,NDJ,2.79,2.57
LDEO,2016-01-01,DJF,2.61,2.96
LDEO,2016-02-01,JFM,2.23,2.28
LDEO,2016-03-01,FMA,1.72,1.96
LDEO,2016-04-01,MAM,1.02,1.73
LDEO,2016-05-01,AMJ,0.42,1.11
LDEO,2016-06-01,MJJ,-0.1,0.83
LDEO,2016-07-01,JJA,-0.38,0.5
LDEO,2016-08-01,JAS,-0.54,0.17
LDEO,2016-09-01,ASO,-0.62,0.04
LDEO,2016-10-01,SON,-0.63,-0.14
LDEO,2016-11-01,OND,-0.57,-0.28
LDEO,2016-12-01,OND,-0.43,-0.39
LDEO,2017-01-01,DJF,-0.2,-0.02
LDEO,2017-02-01,JFM,-0.03,0.11
LDEO,2017-03-01,FMA,0.2,0.08
LDEO,2017-04-01,MAM,0.3,0.21
LDEO,2017-05-01,AMJ,0.44,0.27
LDEO,2017-06-01,MJJ,0.47,0.5
LDEO,2017-07-01,JJA,0.26,0.41
LDEO,2017-08-01,JAS,-0.07,0.24
LDEO,2017-09-01,ASO,-0.35,0.29
LDEO,2017-10-01,SON,-0.58,0
LDEO,2017-11-01,OND,-0.7,-0.46
LDEO,2017-12-01,NDJ,-0.79,-0.56
LDEO,2018-01-01,DJF,-0.81,-0.4
LDEO,2018-02-01,JFM,-0.79,-0.15
LDEO,2018-03-01,FMA,-0.68,-0.07
LDEO,2018-04-01,MAM,-0.41,-0.18
LDEO,2018-05-01,AMJ,-0.1,-0.1
LDEO,2018-06-01,MJJ,0.12,-0.01
LDEO,2018-07-01,JJA,0.27,0.07
LDEO,2018-08-01,JAS,0.31,0.24
LDEO,2018-09-01,ASO,0.51,0.52
LDEO,2018-10-01,SON,0.74,0.48
LDEO,2018-11-01,OND,0.95,0.47
LDEO,2018-12-01,NDJ,0.82,0.55
LDEO,2019-01-01,DJF,0.71,0.83
